sentence,tokens,labels
1 masala vada with spicy,"['1', 'masala', 'vada', 'with', 'spicy']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION']"
2 idlis with extra chutney,"['2', 'idlis', 'with', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one pongal less oil,"['one', 'pongal', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three vada no onion,"['three', 'vada', 'no', 'onion']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plate of puri with chutney,"['plate', 'of', 'puri', 'with', 'chutney']","['B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
half plate idli with chutney,"['half', 'plate', 'idli', 'with', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
two pooris no masala,"['two', 'pooris', 'no', 'masala']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 vada with less chutney,"['3', 'vada', 'with', 'less', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just coffee,"['just', 'coffee']","['O', 'B-FOOD']"
one filter coffee,"['one', 'filter', 'coffee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD']"
get me 2 masala dosas,"['get', 'me', '2', 'masala', 'dosas']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD']"
i want hot pongal,"['i', 'want', 'hot', 'pongal']","['O', 'O', 'B-CUSTOMIZATION', 'B-FOOD']"
4 idlis and 1 vada,"['4', 'idlis', 'and', '1', 'vada']","['B-QUANTITY', 'B-FOOD', 'O', 'B-QUANTITY', 'B-FOOD']"
single vada with no chutney,"['single', 'vada', 'with', 'no', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plate of samosa with sauce,"['plate', 'of', 'samosa', 'with', 'sauce']","['B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
one hot idli,"['one', 'hot', 'idli']","['B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD']"
no spicy in dosa,"['no', 'spicy', 'in', 'dosa']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
extra sambar for pongal,"['extra', 'sambar', 'for', 'pongal']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
one pav bhaji,"['one', 'pav', 'bhaji']","['B-QUANTITY', 'B-FOOD', 'I-FOOD']"
need strong tea,"['need', 'strong', 'tea']","['O', 'B-CUSTOMIZATION', 'B-FOOD']"
3 medu vada with sambar,"['3', 'medu', 'vada', 'with', 'sambar']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION']"
no oil in pongal,"['no', 'oil', 'in', 'pongal']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
give me 1 poori with less salt,"['give', 'me', '1', 'poori', 'with', 'less', 'salt']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
hot coffee please,"['hot', 'coffee', 'please']","['B-CUSTOMIZATION', 'B-FOOD', 'O']"
order one idli with extra chutney,"['order', 'one', 'idli', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 2 hot idlis,"['i', 'want', '2', 'hot', 'idlis']","['O', 'O', 'B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD']"
just one vada with no chutney,"['just', 'one', 'vada', 'with', 'no', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me three masala dosas less spicy,"['get', 'me', 'three', 'masala', 'dosas', 'less', 'spicy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half plate pongal no ghee,"['half', 'plate', 'pongal', 'no', 'ghee']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want hot coffee,"['want', 'hot', 'coffee']","['O', 'B-CUSTOMIZATION', 'B-FOOD']"
please give me 1 samosa with extra chutney,"['please', 'give', 'me', '1', 'samosa', 'with', 'extra', 'chutney']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two pooris without spice,"['two', 'pooris', 'without', 'spice']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring filter coffee no sugar,"['bring', 'filter', 'coffee', 'no', 'sugar']","['O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need one vada and idli,"['need', 'one', 'vada', 'and', 'idli']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-FOOD']"
a plate of pongal with less oil,"['a', 'plate', 'of', 'pongal', 'with', 'less', 'oil']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates of idli with extra chutney,"['two', 'plates', 'of', 'idli', 'with', 'extra', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me a spicy masala dosa,"['give', 'me', 'a', 'spicy', 'masala', 'dosa']","['O', 'O', 'O', 'B-CUSTOMIZATION', 'B-FOOD', 'I-FOOD']"
i want one vada without onion,"['i', 'want', 'one', 'vada', 'without', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring half plate poori with extra sambar,"['bring', 'half', 'plate', 'poori', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need three idlis with no chutney,"['need', 'three', 'idlis', 'with', 'no', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just a cup of strong coffee,"['just', 'a', 'cup', 'of', 'strong', 'coffee']","['O', 'O', 'B-QUANTITY', 'O', 'B-CUSTOMIZATION', 'B-FOOD']"
i will take two masala dosas,"['i', 'will', 'take', 'two', 'masala', 'dosas']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD']"
get me a hot vada,"['get', 'me', 'a', 'hot', 'vada']","['O', 'O', 'O', 'B-CUSTOMIZATION', 'B-FOOD']"
no oil in my pongal,"['no', 'oil', 'in', 'my', 'pongal']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'O', 'B-FOOD']"
can i have one poori without salt,"['can', 'i', 'have', 'one', 'poori', 'without', 'salt']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates of idli with extra sambar,"['two', 'plates', 'of', 'idli', 'with', 'extra', 'sambar']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one masala dosa with no onion,"['one', 'masala', 'dosa', 'with', 'no', 'onion']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half plate pongal no ghee,"['half', 'plate', 'pongal', 'no', 'ghee']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three vada with extra chutney,"['three', 'vada', 'with', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just a cup of tea,"['just', 'a', 'cup', 'of', 'tea']","['O', 'O', 'B-QUANTITY', 'O', 'B-FOOD']"
get me strong filter coffee,"['get', 'me', 'strong', 'filter', 'coffee']","['O', 'O', 'B-CUSTOMIZATION', 'B-FOOD', 'I-FOOD']"
two samosas no mint chutney,"['two', 'samosas', 'no', 'mint', 'chutney']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need one hot puri,"['need', 'one', 'hot', 'puri']","['O', 'B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD']"
order 4 idlis with less spice,"['order', '4', 'idlis', 'with', 'less', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want cold coffee,"['want', 'cold', 'coffee']","['O', 'B-CUSTOMIZATION', 'B-FOOD']"
one plate medu vada with extra sambar,"['one', 'plate', 'medu', 'vada', 'with', 'extra', 'sambar']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three hot idlis no onion,"['three', 'hot', 'idlis', 'no', 'onion']","['B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half cup strong tea,"['half', 'cup', 'strong', 'tea']","['B-QUANTITY', 'I-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD']"
two dosas with extra chutney,"['two', 'dosas', 'with', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just coffee,"['just', 'coffee']","['O', 'B-FOOD']"
need one plate pongal less oil,"['need', 'one', 'plate', 'pongal', 'less', 'oil']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order two pooris no spicy,"['order', 'two', 'pooris', 'no', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
four idlis with extra ghee,"['four', 'idlis', 'with', 'extra', 'ghee']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one hot masala dosa,"['one', 'hot', 'masala', 'dosa']","['B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD', 'I-FOOD']"
a plate of samosa with sweet chutney,"['a', 'plate', 'of', 'samosa', 'with', 'sweet', 'chutney']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates of idli with extra sambar,"['two', 'plates', 'of', 'idli', 'with', 'extra', 'sambar']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me three dosas extra crispy,"['get', 'me', 'three', 'dosas', 'extra', 'crispy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want a bowl of pongal with ghee on top,"['i', 'want', 'a', 'bowl', 'of', 'pongal', 'with', 'ghee', 'on', 'top']","['O', 'O', 'O', 'B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half plate poori less masala,"['half', 'plate', 'poori', 'less', 'masala']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plain dosa no butter,"['one', 'plain', 'dosa', 'no', 'butter']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis and a vada with extra chutney,"['two', 'idlis', 'and', 'a', 'vada', 'with', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me a set dosa with no salt,"['give', 'me', 'a', 'set', 'dosa', 'with', 'no', 'salt']","['O', 'O', 'O', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
full meals with extra gravy,"['full', 'meals', 'with', 'extra', 'gravy']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
small portion of upma no ginger,"['small', 'portion', 'of', 'upma', 'no', 'ginger']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a single vada without chutney,"['a', 'single', 'vada', 'without', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three onion dosas extra spicy,"['three', 'onion', 'dosas', 'extra', 'spicy']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half plate poha no mustard seeds,"['half', 'plate', 'poha', 'no', 'mustard', 'seeds']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a cup of coffee with less sugar,"['a', 'cup', 'of', 'coffee', 'with', 'less', 'sugar']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me four idlis and no chutney,"['get', 'me', 'four', 'idlis', 'and', 'no', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
medium size masala dosa without ghee,"['medium', 'size', 'masala', 'dosa', 'without', 'ghee']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i need a small portion of kesari,"['i', 'need', 'a', 'small', 'portion', 'of', 'kesari']","['O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD']"
serve two vada pavs less spicy,"['serve', 'two', 'vada', 'pavs', 'less', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please get me three chapatis no oil,"['please', 'get', 'me', 'three', 'chapatis', 'no', 'oil']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a bowl of curd rice extra curd,"['a', 'bowl', 'of', 'curd', 'rice', 'extra', 'curd']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me a double egg dosa with extra onions,"['give', 'me', 'a', 'double', 'egg', 'dosa', 'with', 'extra', 'onions']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just one samosa no mint chutney,"['just', 'one', 'samosa', 'no', 'mint', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a plate of lemon rice without nuts,"['a', 'plate', 'of', 'lemon', 'rice', 'without', 'nuts']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plain parathas with butter,"['two', 'plain', 'parathas', 'with', 'butter']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION']"
get me three vada no coconut chutney,"['get', 'me', 'three', 'vada', 'no', 'coconut', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a glass of lassi less sweet,"['a', 'glass', 'of', 'lassi', 'less', 'sweet']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order four pani puris extra spicy,"['order', 'four', 'pani', 'puris', 'extra', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i would like two biryani packets with less oil,"['i', 'would', 'like', 'two', 'biryani', 'packets', 'with', 'less', 'oil']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a single sandwich no sauce,"['a', 'single', 'sandwich', 'no', 'sauce']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get half plate idiyappam extra coconut milk,"['get', 'half', 'plate', 'idiyappam', 'extra', 'coconut', 'milk']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one idli with sambar,"['one', 'idli', 'with', 'sambar']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
two vada no chutney,"['two', 'vada', 'no', 'chutney']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three masala dosa extra spicy,"['three', 'masala', 'dosa', 'extra', 'spicy']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a plate of pongal without cashews,"['a', 'plate', 'of', 'pongal', 'without', 'cashews']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me one pav bhaji less butter,"['give', 'me', 'one', 'pav', 'bhaji', 'less', 'butter']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get four veg rolls extra cheese,"['get', 'four', 'veg', 'rolls', 'extra', 'cheese']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
five jalebi with less sugar,"['five', 'jalebi', 'with', 'less', 'sugar']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a bowl of curd rice with no pickle,"['a', 'bowl', 'of', 'curd', 'rice', 'with', 'no', 'pickle']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one mango lassi not too sweet,"['order', 'one', 'mango', 'lassi', 'not', 'too', 'sweet']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three plain roti no ghee,"['three', 'plain', 'roti', 'no', 'ghee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
six chicken momoes extra dip,"['six', 'chicken', 'momoes', 'extra', 'dip']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me one veg thali without curd,"['give', 'me', 'one', 'veg', 'thali', 'without', 'curd']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get a half plate noodles spicy,"['get', 'a', 'half', 'plate', 'noodles', 'spicy']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION']"
just one coffee less sugar,"['just', 'one', 'coffee', 'less', 'sugar']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a glass of buttermilk no salt,"['a', 'glass', 'of', 'buttermilk', 'no', 'salt']","['O', 'B-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
seven paneer tikka extra spicy,"['seven', 'paneer', 'tikka', 'extra', 'spicy']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order two sandwiches without sauce,"['order', 'two', 'sandwiches', 'without', 'sauce']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one bottle water cold,"['one', 'bottle', 'water', 'cold']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION']"
three pani puri no onions,"['three', 'pani', 'puri', 'no', 'onions']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
a cup tea no milk,"['a', 'cup', 'tea', 'no', 'milk']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates of vada with extra sambar,"['two', 'plates', 'of', 'vada', 'with', 'extra', 'sambar']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one idli no spice please,"['one', 'idli', 'no', 'spice', 'please']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
half dosa less oil,"['half', 'dosa', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me biryani without onions,"['give', 'me', 'biryani', 'without', 'onions']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three samosas extra crispy,"['three', 'samosas', 'extra', 'crispy']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one cup of tea with more sugar,"['one', 'cup', 'of', 'tea', 'with', 'more', 'sugar']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order idli sambar combo,"['order', 'idli', 'sambar', 'combo']","['O', 'B-FOOD', 'I-FOOD', 'I-FOOD']"
plain dosa with no butter,"['plain', 'dosa', 'with', 'no', 'butter']","['B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one masala dosa extra spicy,"['one', 'masala', 'dosa', 'extra', 'spicy']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
single vada with less salt,"['single', 'vada', 'with', 'less', 'salt']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me curd rice without mustard,"['send', 'me', 'curd', 'rice', 'without', 'mustard']","['O', 'O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give two veg rolls,"['give', 'two', 'veg', 'rolls']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD']"
tea no milk,"['tea', 'no', 'milk']","['B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order half plate pongal,"['order', 'half', 'plate', 'pongal']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD']"
three vada no chilli,"['three', 'vada', 'no', 'chilli']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plain uttapam extra chutney,"['plain', 'uttapam', 'extra', 'chutney']","['B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
idli with no ghee,"['idli', 'with', 'no', 'ghee']","['B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two masala dosa without potato,"['two', 'masala', 'dosa', 'without', 'potato']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me vada with less chilli,"['get', 'me', 'vada', 'with', 'less', 'chilli']","['O', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
idli with extra coconut chutney,"['idli', 'with', 'extra', 'coconut', 'chutney']","['B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate idli with extra sambar,"['one', 'plate', 'idli', 'with', 'extra', 'sambar']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three vada no onions,"['three', 'vada', 'no', 'onions']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half plate pongal less ghee,"['half', 'plate', 'pongal', 'less', 'ghee']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
