sentence,tokens,labels
masala dosa without spice,"['masala', 'dosa', 'without', 'spice']","['B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send two cups coffee extra hot,"['send', 'two', 'cups', 'coffee', 'extra', 'hot']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me plain dosa with no salt,"['get', 'me', 'plain', 'dosa', 'with', 'no', 'salt']","['O', 'O', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one tea with less sugar,"['one', 'tea', 'with', 'less', 'sugar']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
four vada extra crispy,"['four', 'vada', 'extra', 'crispy']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order idli chutney with no coriander,"['order', 'idli', 'chutney', 'with', 'no', 'coriander']","['O', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring five samosas without mint chutney,"['bring', 'five', 'samosas', 'without', 'mint', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plain dosa add extra chutney,"['plain', 'dosa', 'add', 'extra', 'chutney']","['B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me two filter coffees,"['give', 'me', 'two', 'filter', 'coffees']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD']"
idli with extra gunpowder,"['idli', 'with', 'extra', 'gunpowder']","['B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
serve dosa with no chutney,"['serve', 'dosa', 'with', 'no', 'chutney']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
half cup coffee no sugar,"['half', 'cup', 'coffee', 'no', 'sugar']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get three idlis with extra sambar,"['get', 'three', 'idlis', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
tea without milk,"['tea', 'without', 'milk']","['B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring me pongal extra pepper,"['bring', 'me', 'pongal', 'extra', 'pepper']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order vada less spicy,"['order', 'vada', 'less', 'spicy']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
single plate idli without chutney,"['single', 'plate', 'idli', 'without', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send two masala dosa no onions,"['send', 'two', 'masala', 'dosa', 'no', 'onions']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me three vada less oil,"['give', 'me', 'three', 'vada', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one coffee no milk,"['one', 'coffee', 'no', 'milk']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get a dosa extra crisp,"['get', 'a', 'dosa', 'extra', 'crisp']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates idli extra chutney,"['two', 'plates', 'idli', 'extra', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
filter coffee with more sugar,"['filter', 'coffee', 'with', 'more', 'sugar']","['B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send half plate pongal,"['send', 'half', 'plate', 'pongal']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD']"
three vada without spice,"['three', 'vada', 'without', 'spice']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order idli less salt,"['order', 'idli', 'less', 'salt']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
bring dosa extra butter,"['bring', 'dosa', 'extra', 'butter']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
tea with less sugar,"['tea', 'with', 'less', 'sugar']","['B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
idli with more chutney,"['idli', 'with', 'more', 'chutney']","['B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me dosa without ghee,"['get', 'me', 'dosa', 'without', 'ghee']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
serve four vada with less spice,"['serve', 'four', 'vada', 'with', 'less', 'spice']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one cup coffee with no sugar,"['one', 'cup', 'coffee', 'with', 'no', 'sugar']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
dosa with extra chutney and sambar,"['dosa', 'with', 'extra', 'chutney', 'and', 'sambar']","['B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me plain idli,"['give', 'me', 'plain', 'idli']","['O', 'O', 'B-FOOD', 'I-FOOD']"
two vada without chutney,"['two', 'vada', 'without', 'chutney']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
filter coffee no sugar,"['filter', 'coffee', 'no', 'sugar']","['B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order three idli with extra chutney,"['order', 'three', 'idli', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order three idli with extra chutney,"['order', 'three', 'idli', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
get me 2 masala dosa without onion,"['get', 'me', '2', 'masala', 'dosa', 'without', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i need one plate pongal no ghee,"['i', 'need', 'one', 'plate', 'pongal', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send five vada with spicy chutney,"['send', 'five', 'vada', 'with', 'spicy', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me idli and more sambar,"['give', 'me', 'idli', 'and', 'more', 'sambar']","['O', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can i have a crispy dosa,"['can', 'i', 'have', 'a', 'crispy', 'dosa']","['O', 'O', 'O', 'O', 'B-CUSTOMIZATION', 'B-FOOD']"
please add two plates of poori,"['please', 'add', 'two', 'plates', 'of', 'poori']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD']"
one pongal with no onion,"['one', 'pongal', 'with', 'no', 'onion']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
extra chutneys and idli,"['extra', 'chutneys', 'and', 'idli']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
make that 2 crispy dosa,"['make', 'that', '2', 'crispy', 'dosa']","['O', 'O', 'B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD']"
i want a large plate of pongal,"['i', 'want', 'a', 'large', 'plate', 'of', 'pongal']","['O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD']"
one vada no chilli,"['one', 'vada', 'no', 'chilli']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can you send idli x 3 with less oil,"['can', 'you', 'send', 'idli', 'x', '3', 'with', 'less', 'oil']","['O', 'O', 'O', 'B-FOOD', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me extra sambar for pongal,"['give', 'me', 'extra', 'sambar', 'for', 'pongal']","['O', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
please include 2 idlis and chutney,"['please', 'include', '2', 'idlis', 'and', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-FOOD']"
need four vada no ghee extra crispy,"['need', 'four', 'vada', 'no', 'ghee', 'extra', 'crispy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 1 masala dosa with extra oil,"['order', '1', 'masala', 'dosa', 'with', 'extra', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send me some hot pongal and idli,"['send', 'me', 'some', 'hot', 'pongal', 'and', 'idli']","['O', 'O', 'B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD', 'O', 'B-FOOD']"
i want idli without spicy chutney,"['i', 'want', 'idli', 'without', 'spicy', 'chutney']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 3 idlis and 2 vada,"['give', 'me', '3', 'idlis', 'and', '2', 'vada']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-QUANTITY', 'B-FOOD']"
please send 2 plates of idli with extra sambar,"['please', 'send', '2', 'plates', 'of', 'idli', 'with', 'extra', 'sambar']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
I want one masala dosa no onion,"['I', 'want', 'one', 'masala', 'dosa', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 3 idlis and less oil,"['give', 'me', '3', 'idlis', 'and', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one vada with extra chutney,"['order', 'one', 'vada', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates of pongal without ghee,"['two', 'plates', 'of', 'pongal', 'without', 'ghee']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 1 dosa with spicy chutney,"['need', '1', 'dosa', 'with', 'spicy', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send 4 idlis extra butter,"['please', 'send', '4', 'idlis', 'extra', 'butter']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can I get one plate of poori with less oil,"['can', 'I', 'get', 'one', 'plate', 'of', 'poori', 'with', 'less', 'oil']","['O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me two vadais extra spicy,"['give', 'me', 'two', 'vadais', 'extra', 'spicy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 3 plates idli with extra chutney,"['order', '3', 'plates', 'idli', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one masala dosa no ghee,"['one', 'masala', 'dosa', 'no', 'ghee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis with less oil,"['two', 'idlis', 'with', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one plate pongal extra chutney,"['please', 'send', 'one', 'plate', 'pongal', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want 2 dosas no onion,"['want', '2', 'dosas', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one vada with extra butter,"['order', 'one', 'vada', 'with', 'extra', 'butter']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 idlis less oil,"['3', 'idlis', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two plates of masala dosa,"['two', 'plates', 'of', 'masala', 'dosa']","['B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'I-FOOD']"
one plate idli extra sambar,"['one', 'plate', 'idli', 'extra', 'sambar']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me 4 dosa with less oil,"['give', 'me', '4', 'dosa', 'with', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
I want one vada no ghee,"['I', 'want', 'one', 'vada', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send 2 idlis extra chutney,"['please', 'send', '2', 'idlis', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one plate poori less oil,"['order', 'one', 'plate', 'poori', 'less', 'oil']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can I get 3 idlis with extra butter,"['can', 'I', 'get', '3', 'idlis', 'with', 'extra', 'butter']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me one plate pongal no onion,"['give', 'me', 'one', 'plate', 'pongal', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need two dosas extra spicy,"['need', 'two', 'dosas', 'extra', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 3 idlis with extra chutney,"['order', '3', 'idlis', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one masala dosa no ghee,"['one', 'masala', 'dosa', 'no', 'ghee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis with less oil,"['two', 'idlis', 'with', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one plate pongal extra chutney,"['please', 'send', 'one', 'plate', 'pongal', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want 2 dosas no onion,"['want', '2', 'dosas', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order two plates of idli with extra chutney,"['order', 'two', 'plates', 'of', 'idli', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please get one masala dosa no ghee,"['please', 'get', 'one', 'masala', 'dosa', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
I want three idlis with less oil,"['I', 'want', 'three', 'idlis', 'with', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me one vada extra spicy,"['give', 'me', 'one', 'vada', 'extra', 'spicy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order four plates pongal without onion,"['order', 'four', 'plates', 'pongal', 'without', 'onion']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 1 dosa with extra butter,"['need', '1', 'dosa', 'with', 'extra', 'butter']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send two idlis less chutney,"['send', 'two', 'idlis', 'less', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate poori extra spicy,"['one', 'plate', 'poori', 'extra', 'spicy']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me three vadais with no ghee,"['give', 'me', 'three', 'vadais', 'with', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 1 plate masala dosa without onion,"['order', '1', 'plate', 'masala', 'dosa', 'without', 'onion']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis extra chutney,"['two', 'idlis', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one plate pongal less oil,"['please', 'send', 'one', 'plate', 'pongal', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want two dosas extra butter,"['want', 'two', 'dosas', 'extra', 'butter']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 3 idlis with extra sambar,"['order', '3', 'idlis', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one masala dosa no ghee,"['one', 'masala', 'dosa', 'no', 'ghee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis with less oil,"['two', 'idlis', 'with', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one plate pongal extra chutney,"['please', 'send', 'one', 'plate', 'pongal', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need two vada no onion,"['need', 'two', 'vada', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one plate poori with extra butter,"['order', 'one', 'plate', 'poori', 'with', 'extra', 'butter']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can I get three idlis with less oil,"['can', 'I', 'get', 'three', 'idlis', 'with', 'less', 'oil']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me one plate pongal no onion,"['give', 'me', 'one', 'plate', 'pongal', 'no', 'onion']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need two dosa extra spicy,"['need', 'two', 'dosa', 'extra', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order 3 idlis with extra chutney,"['order', '3', 'idlis', 'with', 'extra', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one masala dosa no ghee,"['one', 'masala', 'dosa', 'no', 'ghee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
two idlis with less oil,"['two', 'idlis', 'with', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one plate pongal extra chutney,"['please', 'send', 'one', 'plate', 'pongal', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want 2 dosas no onion,"['want', '2', 'dosas', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order one plate idli with extra sambar,"['order', 'one', 'plate', 'idli', 'with', 'extra', 'sambar']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three idlis with extra chutney,"['three', 'idlis', 'with', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need one vada with no ghee,"['need', 'one', 'vada', 'with', 'no', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
can I have two masala dosas with extra butter,"['can', 'I', 'have', 'two', 'masala', 'dosas', 'with', 'extra', 'butter']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
please send one plate idli no ghee,"['please', 'send', 'one', 'plate', 'idli', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order three plates of vada with less oil,"['order', 'three', 'plates', 'of', 'vada', 'with', 'less', 'oil']","['O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
I want one plate pongal extra spicy,"['I', 'want', 'one', 'plate', 'pongal', 'extra', 'spicy']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me two idlis with extra chutney,"['give', 'me', 'two', 'idlis', 'with', 'extra', 'chutney']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need one plate poori less oil,"['need', 'one', 'plate', 'poori', 'less', 'oil']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order four dosas with extra butter,"['order', 'four', 'dosas', 'with', 'extra', 'butter']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate idli no onion,"['one', 'plate', 'idli', 'no', 'onion']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send three vadais extra spicy,"['send', 'three', 'vadais', 'extra', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give me two plates masala dosa no ghee,"['give', 'me', 'two', 'plates', 'masala', 'dosa', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
